description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.6439589460416542,0.5984433527795311,0.6607649188821699,0.6439589460416542,343.6298952102661,40.90726552009583,0.601355308293428,0.6468938906752412,0.6603255812613487,0.6468938906752412
KNN,0.6252925994838245,0.6178830865625525,0.6184576102137351,0.6252925994838245,0.0426361083984375,2.5961647987365724,0.620538546891643,0.6277041800643086,0.6204506435024227,0.6277041800643086
GausianNB,0.5808774983494388,0.5654905176158306,0.5675514345209536,0.5808774983494388,0.10852670669555664,0.03332223892211914,0.5775949361722178,0.5902508038585208,0.5780049211272568,0.5902508038585208
DT,0.5752956005041714,0.5751880070048678,0.5750831793251848,0.5752956005041714,7.672508382797242,0.02337360382080078,0.5767631162110485,0.5758971061093248,0.5779027491482326,0.5758971061093248
bagging,0.6278134565752356,0.6095812365441537,0.6201488419331067,0.6278134565752356,53.8116795539856,0.12135725021362305,0.620240128052687,0.6374533762057879,0.6294308957785708,0.6374533762057879
RF,0.6590240681831823,0.6390503301280848,0.6584661134448255,0.6590240681831823,51.555791568756106,0.6247927665710449,0.6454196228465148,0.6643858520900322,0.6621908484685524,0.6643858520900322
Adaboost,0.63825700738251,0.6224949817566715,0.6318993876607731,0.63825700738251,33.48591499328613,0.2054840087890625,0.6310063846525178,0.6457877813504823,0.6387371700254956,0.6457877813504823
GradientBoostingClassifier,0.6523017826060861,0.6258830167601289,0.6544048426744348,0.6523017826060861,165.71826009750367,0.07098369598388672,0.6350275463860144,0.6596270096463022,0.6598158417294218,0.6596270096463022
NuSVC,0.6485204969689694,0.643760425456028,0.6436950091746191,0.6485204969689694,4303.252405786514,21.72418785095215,0.6478089424584073,0.6510096463022508,0.6469254794996246,0.6510096463022508
LinearSVC,0.6425784766820719,0.6288434999210842,0.6364867712201637,0.6425784766820719,36.276948833465575,0.01527104377746582,0.6327287425740045,0.6512926045016076,0.6463782529799613,0.6512926045016076
SGDClassifier,0.6343556809315167,0.5884690446314893,0.6443250570668005,0.6343556809315167,2.303452968597412,0.01536870002746582,0.6070704053786173,0.6191382636655949,0.6162158868369665,0.6191382636655949
