description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.12889966543526732,26.79513287060032,995.169180545036,0.6387810707092285,0.12775969505310059,-75.99866523501444,-26.50082364202715,-968.3764984057021,-24.99912562532029,-31.1011418092165,0.12802487345318037
KNeighborsRegressor,-0.12176769665357456,30.271651785714287,1281.5385267857143,0.008517169952392578,0.025488948822021483,-89.26,-29.602740614648507,-1249.1069748803827,-27.810000000000002,-35.32483260248996,-0.1256893886432941
DecisionTreeRegressor,-0.6784643955561294,35.28627232142857,1917.5242745535713,0.6464495658874512,0.004032635688781738,-110.8,-35.58478445896209,-1944.7432364510491,-30.85,-44.07275929494161,-0.752657330670651
BaggingRegressor,0.02805176904029638,28.205522693452384,1110.3806142144097,0.8627163171768188,0.03837463855743408,-81.67999999999999,-27.932245514354065,-1076.7698837284536,-26.809999999999995,-32.7883194262252,0.03062810566827805
RandomForestRegressor,0.1037934507206224,27.83274980553301,1023.8512165089475,6.434201121330261,0.050725889205932614,-73.7838,-26.98614117187637,-974.6737633127046,-26.721083333333333,-31.2022774833983,0.12227203828913943
AdaBoostRegressor,0.0926761207142276,28.42108084901285,1036.5519626266043,6.191933679580688,0.009404730796813966,-74.66515886942503,-27.83838515944695,-1007.3111659292081,-28.440219004827725,-31.722341606969554,0.09259583720080773
GradientBoostingRegressor,0.09614506820083868,27.60988103200707,1032.5889408131302,20.295522499084473,0.0043898820877075195,-77.23693419459886,-27.22078586410251,-1008.8787263080833,-26.506357691558,-31.746180811246223,0.09113404974007601
NuSVR,0.1222560054066395,27.777763277612156,1002.7590820112235,0.3003158330917358,0.05347075462341309,-74.20099063999565,-27.207932057212595,-975.3912515447149,-27.16358162230505,-31.21875957676837,0.12144900579367154
LinearSVR,-2.1527961366937287,48.00093506308,3601.8417434620974,2.0546455860137938,0.004436564445495605,-235.16043083312962,-51.2852980846993,-4398.168579578126,-43.7360754067202,-65.44004536687412,-2.9778180821750198
SGDRegressor,-3.5031341992983646e+30,5.1383469289628216e+16,4.002077662152452e+33,0.2408090591430664,0.004279017448425293,-1.9610623950534355e+17,-6.303245714626888e+16,-6.034419175679383e+33,-5.700761652491739e+16,-7.316238211212016e+16,-5.421578222854993e+30
