description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.11498983301043408,27.37035729155874,1011.0601588703478,1.9886125087738038,0.32942628860473633,-77.35376523640033,-27.06567605765563,-988.458803408096,-26.160857587834634,-31.430576281269232,0.10944017232064493
KNeighborsRegressor,-0.46220017885814,35.011160714285715,1670.4580357142856,0.01617414951324463,0.03454368114471436,-87.48,-34.90455281560544,-1672.952530180346,-33.11999999999999,-40.867722035376296,-0.5120121058829372
DecisionTreeRegressor,-0.7152501898680601,34.82533482142857,1959.5493861607142,0.29396719932556153,0.0053321123123168945,-110.0,-34.41743651085757,-1871.4232333456016,-28.8,-43.23020709053285,-0.6854085671550809
BaggingRegressor,0.044515466361072176,28.125033482142857,1091.5720298053075,0.546189284324646,0.13228192329406738,-80.28999999999999,-27.25478581615753,-1039.7470830435173,-25.564999999999998,-32.23424638726564,0.06315844852216437
RandomForestRegressor,0.13752402648328366,27.25551599702381,985.3164713032613,3.1592151165008544,0.042224764823913574,-75.046,-26.587172252692483,-953.0599053556068,-26.012416666666667,-30.85564584369534,0.14163587145448725
AdaBoostRegressor,0.10520512660285863,28.125134143800103,1022.2384788308908,3.1314977407455444,0.014646196365356445,-72.71944878078088,-27.472037014479366,-989.62334400545,-27.558342863636444,-31.447396232406597,0.10838228506913175
GradientBoostingRegressor,0.12633590294086505,27.075355741674922,998.0980939197981,5.390235352516174,0.006787347793579102,-75.25059158817217,-26.340887852204094,-956.158494588893,-24.93648039489451,-30.90456529757692,0.13879305445844156
NuSVR,0.10127138844633066,28.26405986986609,1026.7324903957776,1.4026842832565307,0.15978484153747557,-75.69369440414613,-27.64982505006886,-999.008045457342,-28.3343173401184,-31.598398876291565,0.09990814257464531
LinearSVR,-3.443253195888474,52.585224870891416,5076.095676298763,2.1876445531845095,0.006190681457519531,-388.8524146545102,-53.43133765227499,-5558.296381241734,-42.39186624575699,-74.07102563666348,-4.034351773915356
SGDRegressor,-1.3913960898907336e+26,302363596683351.7,1.58956948085896e+29,0.3954035520553589,0.00757746696472168,-1601533778380125.8,-345446513711321.7,-2.0330914548868546e+29,-282413729887645.9,-448543765566958.56,-1.839878933657303e+26
